Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2201,Women,Training,SuperRep Go,11,2.0,6110.030000000001,0.615,0.0,2024-05-10,Online,Mumbai,1403.56
2000,Kids,Training,Metcon 7,Unknown,4.0,6110.030000000001,0.94,0.0,2024-02-27,Retail,Bengaluru,2372.82
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,0.615,0.0,2024-01-06,Retail,Mumbai,-297.05
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69
2223,Kids,Training,Flex Trainer,M,-1.0,9180.15,0.615,0.0,2025-02-15,Online,Kolkata,799.28
2231,Kids,Training,Flex Trainer,9,0.0,6110.030000000001,1.05,0.0,2025-01-04,Online,Bengaluru,-39.48
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,Bengaluru,1625.14
2249,Men,Training,Flex Trainer,M,2.0,7730.77,0.615,0.0,2024-05-28,Online,Delhi,-692.94
2250,Men,Basketball,Kyrie Flytrap,XL,2.0,6110.030000000001,0.615,0.0,2024-10-01,Retail,Pune,821.13
2258,Women,Lifestyle,Dunk Low,L,2.0,6110.030000000001,0.39,0.0,2023-11-21,Online,Mumbai,2824.7
2262,Women,Running,Pegasus Turbo,L,0.0,6110.030000000001,0.615,0.0,2024-09-15,Retail,Pune,3146.93
2267,Women,Running,Air Zoom,M,-1.0,3075.72,0.615,0.0,2024-12-20,Retail,Kolkata,238.78
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,0.615,0.0,2023-11-16,Online,Kolkata,518.71
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0.615,0.0,2024-07-14,Retail,Mumbai,-405.26
2271,Kids,Lifestyle,Waffle One,9,2.0,5116.58,0.07,0.0,2024-05-03,Retail,Delhi,1293.94
2273,Kids,Running,Free RN,M,-1.0,4004.36,0.615,0.0,2024-01-30,Online,Kolkata,-614.66
2276,Kids,Lifestyle,Air Force 1,L,-1.0,6066.5,0.615,0.0,2023-08-29,Retail,Kolkata,1181.87
2279,Women,Lifestyle,Blazer Mid,6,2.0,6110.030000000001,0.615,0.0,2024-08-03,Retail,Mumbai,766.72
2281,Kids,Lifestyle,Waffle One,M,2.0,6110.030000000001,0.615,0.0,2025-07-13,Retail,Kolkata,1753.48
2286,Women,Lifestyle,Waffle One,Unknown,2.0,6110.030000000001,0.615,0.0,2024-10-16,Online,Bangalore,2419.09
2317,Men,Training,Flex Trainer,M,2.0,9695.44,1.06,0.0,2024-09-13,Online,Kolkata,32.45
2321,Men,Lifestyle,Dunk Low,8,2.0,6110.030000000001,0.615,0.0,2024-06-10,Online,Mumbai,-362.47
2332,Kids,Training,Flex Trainer,Unknown,-1.0,6110.030000000001,0.22,0.0,2024-07-15,Retail,Pune,2914.06
2334,Women,Training,SuperRep Go,L,4.0,6110.030000000001,0.82,0.0,2024-06-06,Retail,Mumbai,-80.25
2335,Women,Running,Free RN,XL,0.0,5620.64,0.615,0.0,2024-01-05,Online,Mumbai,217.22
2336,Kids,Soccer,Mercurial Superfly,8,4.0,8482.43,0.615,0.0,2023-10-22,Online,Pune,3854.71
2342,Women,Training,Metcon 7,XL,2.0,6110.030000000001,0.615,0.0,2024-08-19,Retail,Kolkata,3463.09
2348,Kids,Training,Metcon 7,XL,2.0,6591.41,0.615,0.0,2025-04-29,Retail,Delhi,2604.68
2349,Kids,Soccer,Tiempo Legend,10,3.0,6110.030000000001,0.615,0.0,2023-10-25,Online,Delhi,-902.62
2353,Kids,Training,ZoomX Invincible,9,0.0,6110.030000000001,0.22,0.0,2024-10-03,Retail,Bangalore,818.35
2368,Women,Lifestyle,Waffle One,L,2.0,5582.98,0.615,0.0,2023-08-04,Retail,Delhi,2369.28
2372,Men,Running,Free RN,Unknown,2.0,7624.86,0.615,0.0,2025-05-23,Online,Kolkata,3365.96
2006,Women,Basketball,Zoom Freak,L,-1.0,8799.22,0.615,0.0,2023-08-13,Retail,Bangalore,-1109.57
2379,Men,Lifestyle,Air Force 1,L,4.0,6110.030000000001,0.615,0.0,2024-04-09,Online,Mumbai,3289.77
2382,Men,Lifestyle,Waffle One,L,4.0,6110.030000000001,0.615,0.0,2024-03-09,Retail,Mumbai,787.42
2394,Kids,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.2,0.0,2023-08-18,Online,Delhi,-133.03
2397,Men,Soccer,Phantom GT,XL,2.0,6110.030000000001,0.615,0.0,2023-12-27,Retail,Mumbai,3996.96
2399,Women,Running,Air Zoom,L,-1.0,6188.29,0.615,0.0,2024-08-07,Retail,Pune,515.6
2025,Kids,Training,ZoomX Invincible,XL,4.0,6743.07,0.615,0.0,2024-10-09,Online,Pune,-277.41
2402,Kids,Running,React Infinity,Unknown,2.0,6437.85,0.615,0.0,2025-03-09,Online,Mumbai,1231.3
2404,Men,Lifestyle,Blazer Mid,XL,2.0,6110.030000000001,0.09,0.0,2024-01-25,Online,Pune,-501.36
2405,Men,Basketball,Kyrie Flytrap,6,1.0,6110.030000000001,0.615,0.0,2024-11-17,Online,Kolkata,69.95
2406,Men,Training,Metcon 7,L,4.0,6458.72,0.615,0.0,2023-09-17,Online,Mumbai,402.0
2407,Kids,Running,Free RN,6,2.0,9193.15,0.615,0.0,2023-12-30,Online,Kolkata,521.77
2414,Women,Basketball,Air Jordan,XL,2.0,8141.8,0.615,0.0,2024-01-25,Online,Hyd,-829.35
2418,Men,Soccer,Phantom GT,XL,2.0,9288.75,0.54,0.0,2025-04-29,Retail,Mumbai,3110.43
2419,Men,Lifestyle,Dunk Low,L,2.0,8738.99,0.47,0.0,2024-07-14,Online,Hyderabad,2868.49
2420,Kids,Basketball,Zoom Freak,9,2.0,6110.030000000001,1.02,0.0,2024-04-11,Online,Hyderbad,1664.6
2421,Women,Running,React Infinity,M,2.0,8136.39,0.615,0.0,2025-03-10,Retail,Pune,3398.15
2025,Kids,Training,Flex Trainer,11,2.0,4554.97,0.615,0.0,2025-03-05,Retail,Hyderbad,2802.1
2427,Men,Running,Pegasus Turbo,7,2.0,2904.11,0.615,0.0,2025-06-13,Online,Delhi,1683.98
2432,Women,Basketball,Zoom Freak,L,1.0,3036.61,0.86,425.13,2024-10-26,Online,Mumbai,3754.3
2435,Kids,Lifestyle,Waffle One,XL,2.0,5853.58,0.615,0.0,2024-04-01,Retail,Kolkata,2378.82
2438,Men,Training,Metcon 7,8,2.0,6110.030000000001,0.615,0.0,2024-11-24,Retail,Mumbai,2965.39
2444,Women,Lifestyle,Blazer Mid,XL,3.0,3676.04,0.615,0.0,2025-05-25,Retail,Pune,1621.74
2447,Kids,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.615,0.0,2024-05-04,Online,Kolkata,1291.8
2003,Women,Lifestyle,Waffle One,XL,2.0,8516.45,0.22,13285.66,2023-09-30,Online,Kolkata,1764.52
2451,Kids,Soccer,Premier III,Unknown,2.0,6110.030000000001,0.54,0.0,2023-11-04,Online,Mumbai,2233.57
2456,Women,Soccer,Premier III,M,0.0,4254.68,0.615,0.0,2025-03-15,Retail,Kolkata,3498.64
2458,Kids,Soccer,Phantom GT,Unknown,2.0,6110.030000000001,0.615,0.0,2023-12-20,Retail,Pune,573.21
2459,Kids,Basketball,Air Jordan,M,2.0,3572.52,0.615,0.0,2024-04-20,Retail,Kolkata,-404.04
2460,Women,Basketball,Zoom Freak,XL,2.0,5482.96,0.35,7127.85,2024-11-04,Online,Kolkata,-823.8
2462,Men,Basketball,Zoom Freak,8,2.0,4468.7,0.49,0.0,2025-01-23,Retail,Pune,2143.6
2464,Women,Lifestyle,Blazer Mid,XL,3.0,2699.59,0.615,0.0,2024-06-30,Retail,Hyderabad,3507.56
2467,Kids,Training,SuperRep Go,M,1.0,8484.82,0.615,0.0,2023-11-05,Online,Mumbai,1899.54
2469,Men,Training,Metcon 7,XL,4.0,6110.030000000001,1.08,0.0,2025-05-21,Retail,Mumbai,-279.26
2475,Men,Running,Free RN,L,2.0,6110.030000000001,1.06,0.0,2025-01-07,Online,Bengaluru,3885.97
2487,Men,Running,Air Zoom,L,3.0,5881.13,0.8,3528.68,2025-03-31,Online,Hyderbad,2108.4
2497,Kids,Basketball,Air Jordan,XL,1.0,6110.030000000001,0.615,0.0,2023-11-29,Online,Mumbai,2592.98
2499,Women,Soccer,Premier III,L,2.0,8347.87,0.615,0.0,2024-06-07,Retail,Hyderbad,1488.3
2502,Women,Basketball,Kyrie Flytrap,M,0.0,6110.030000000001,0.615,0.0,2023-09-10,Retail,Mumbai,2412.82
2507,Men,Soccer,Phantom GT,L,2.0,6110.030000000001,0.615,0.0,2024-03-13,Retail,Hyderbad,2116.53
2516,Kids,Running,React Infinity,Unknown,2.0,6110.030000000001,0.615,0.0,2024-01-21,Online,Pune,157.65
2518,Women,Basketball,Air Jordan,L,2.0,6110.030000000001,1.03,0.0,2024-07-03,Retail,Delhi,-703.61
2519,Women,Running,React Infinity,L,2.0,9701.72,0.615,0.0,2024-11-10,Online,Hyd,-835.82
2522,Men,Running,Pegasus Turbo,XL,4.0,6243.91,0.615,0.0,2024-02-13,Retail,Kolkata,-199.13
2525,Women,Training,Metcon 7,XL,2.0,6110.030000000001,0.615,0.0,2025-02-18,Retail,Kolkata,3453.18
2526,Kids,Lifestyle,Waffle One,10,1.0,6110.030000000001,0.615,0.0,2024-08-01,Retail,Hyderabad,3188.07
2527,Men,Lifestyle,Air Force 1,XL,2.0,7408.91,0.615,0.0,2024-03-18,Online,Delhi,-138.78
2533,Women,Training,Flex Trainer,L,2.0,6110.030000000001,1.02,0.0,2024-01-31,Online,Mumbai,2155.46
2540,Women,Lifestyle,Air Force 1,L,2.0,8794.64,0.615,0.0,2025-01-09,Online,Mumbai,-938.07
2550,Men,Soccer,Premier III,XL,1.0,6121.21,0.05,5815.15,2023-09-08,Online,Kolkata,2470.08
2553,Kids,Basketball,Kyrie Flytrap,Unknown,2.0,6708.16,0.615,0.0,2025-02-24,Online,Delhi,-739.72
2561,Women,Soccer,Tiempo Legend,XL,2.0,3642.21,0.615,0.0,2024-03-25,Online,Bengaluru,3900.7
2562,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.615,0.0,2024-12-21,Retail,Mumbai,-79.1
2563,Men,Soccer,Mercurial Superfly,M,2.0,9443.35,0.54,8687.88,2025-04-13,Retail,Kolkata,2706.61
2564,Women,Basketball,LeBron 20,M,2.0,6110.030000000001,0.72,0.0,2023-08-07,Online,Delhi,1279.03
2565,Women,Lifestyle,Dunk Low,XL,4.0,3028.41,0.615,0.0,2024-09-18,Online,Mumbai,1754.48
2571,Kids,Soccer,Phantom GT,6,2.0,4728.95,0.615,0.0,2023-11-28,Retail,Mumbai,276.98
2577,Women,Running,Air Zoom,L,-1.0,5545.52,0.615,0.0,2023-11-16,Retail,Mumbai,1185.56
2589,Men,Training,Metcon 7,M,3.0,6110.030000000001,0.615,0.0,2024-09-17,Online,Kolkata,1429.18
2594,Women,Training,ZoomX Invincible,XL,3.0,7944.34,0.67,7864.9,2024-02-23,Retail,Hyderbad,1534.91
2595,Men,Basketball,LeBron 20,XL,0.0,6110.030000000001,0.615,0.0,2024-02-23,Retail,Delhi,420.27
2603,Women,Running,Air Zoom,L,0.0,6110.030000000001,0.615,0.0,2025-03-18,Online,Hyd,-144.08
2047,Men,Soccer,Phantom GT,Unknown,4.0,6136.45,0.615,0.0,2024-12-17,Online,Kolkata,2790.51
2605,Kids,Lifestyle,Dunk Low,Unknown,-1.0,7206.45,0.615,0.0,2025-02-01,Online,Bengaluru,-228.84
2607,Women,Basketball,LeBron 20,Unknown,2.0,6110.030000000001,0.615,0.0,2023-08-31,Online,Kolkata,3522.02
2610,Women,Lifestyle,Blazer Mid,M,2.0,8359.07,0.615,0.0,2025-05-06,Online,Bangalore,167.72
2612,Women,Training,Flex Trainer,M,0.0,6110.030000000001,0.615,0.0,2023-08-10,Retail,Mumbai,507.1
2616,Men,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.2,0.0,2024-06-07,Online,Kolkata,2788.41
2619,Kids,Lifestyle,Waffle One,L,4.0,6110.030000000001,0.65,0.0,2024-01-22,Online,Hyd,-300.28
2621,Kids,Soccer,Phantom GT,L,3.0,6466.57,0.59,7953.88,2024-05-19,Online,Bangalore,-1152.86
2625,Kids,Training,Flex Trainer,M,-1.0,6815.44,0.615,0.0,2025-02-05,Online,Pune,3874.57
2627,Women,Basketball,LeBron 20,7,2.0,6110.030000000001,0.615,0.0,2023-12-31,Online,Delhi,282.13
2635,Women,Running,React Infinity,M,2.0,3934.22,0.615,0.0,2024-02-28,Online,Kolkata,430.63
2638,Men,Soccer,Premier III,8,1.0,5028.99,0.615,0.0,2024-01-22,Online,Pune,654.11
2639,Men,Lifestyle,Blazer Mid,XL,2.0,2597.93,0.615,0.0,2025-06-25,Retail,Pune,374.95
2648,Men,Running,React Infinity,L,2.0,3477.49,0.54,0.0,2025-03-06,Retail,Delhi,3487.39
2650,Men,Lifestyle,Blazer Mid,Unknown,2.0,6110.030000000001,0.615,0.0,2023-08-14,Retail,Bangalore,3703.68
2651,Kids,Basketball,Air Jordan,L,1.0,6110.030000000001,0.615,0.0,2024-10-27,Online,Kolkata,-819.33
2654,Kids,Soccer,Tiempo Legend,M,2.0,6110.030000000001,0.615,0.0,2024-07-21,Online,Bangalore,2933.02
2658,Women,Lifestyle,Dunk Low,L,1.0,6110.030000000001,0.615,0.0,2025-04-26,Online,Delhi,155.53
2027,Men,Soccer,Premier III,12,4.0,7204.01,0.615,0.0,2025-06-15,Retail,Delhi,3951.42
2679,Men,Training,Flex Trainer,M,2.0,2758.08,0.04,0.0,2024-07-05,Online,Bangalore,2447.58
2031,Women,Soccer,Phantom GT,L,2.0,6110.030000000001,0.615,0.0,2024-07-12,Online,Mumbai,3119.37
2692,Women,Training,Metcon 7,XL,2.0,6110.030000000001,0.47,0.0,2024-06-02,Online,Bangalore,2528.27
2703,Kids,Running,Pegasus Turbo,L,2.0,5214.32,0.615,0.0,2025-06-24,Online,Kolkata,-637.13
2705,Men,Running,Pegasus Turbo,Unknown,2.0,6110.030000000001,0.615,0.0,2024-01-07,Retail,Pune,-37.88
2715,Kids,Basketball,LeBron 20,L,0.0,6110.030000000001,1.07,0.0,2025-06-13,Online,Kolkata,-1164.37
2719,Women,Training,Metcon 7,Unknown,2.0,4819.76,0.615,0.0,2024-03-22,Retail,Kolkata,2066.12
2721,Kids,Training,Flex Trainer,L,0.0,6110.030000000001,0.615,0.0,2023-11-11,Online,Bangalore,1275.23
2724,Women,Training,Flex Trainer,L,2.0,8007.22,0.615,0.0,2025-01-16,Online,Delhi,1190.2
2732,Women,Training,SuperRep Go,M,0.0,3402.8,0.615,0.0,2025-03-01,Online,Hyderabad,1045.5
2733,Women,Running,Free RN,L,2.0,6743.38,0.615,0.0,2024-11-22,Online,Pune,1908.63
2736,Men,Soccer,Tiempo Legend,Unknown,2.0,6110.030000000001,0.49,0.0,2025-02-22,Retail,Delhi,3042.49
2738,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.39,0.0,2025-05-11,Retail,Pune,-712.53
2741,Women,Training,SuperRep Go,L,2.0,5241.9,0.615,0.0,2025-01-15,Online,Hyderabad,-295.49
2754,Kids,Training,ZoomX Invincible,XL,1.0,6110.030000000001,0.615,0.0,2025-01-03,Online,Kolkata,3565.12
2756,Women,Lifestyle,Waffle One,Unknown,2.0,8510.85,1.11,0.0,2023-09-21,Retail,Bengaluru,1491.91
2759,Kids,Soccer,Premier III,Unknown,2.0,6110.030000000001,0.615,0.0,2024-01-26,Retail,Delhi,1822.72
2771,Men,Running,Pegasus Turbo,M,2.0,5222.92,0.615,0.0,2025-05-26,Online,Delhi,1804.67
2776,Men,Training,Flex Trainer,L,2.0,6110.030000000001,0.615,0.0,2025-03-17,Retail,Mumbai,1143.68
2779,Kids,Basketball,Kyrie Flytrap,Unknown,2.0,6110.030000000001,0.09,0.0,2024-12-06,Online,Bengaluru,-187.36
2781,Men,Training,Metcon 7,12,1.0,6546.59,0.68,2094.91,2023-09-03,Retail,Bangalore,1504.31
2788,Women,Soccer,Mercurial Superfly,M,2.0,7478.84,0.615,0.0,2024-01-04,Retail,Hyd,-18.4
2789,Kids,Lifestyle,Dunk Low,M,2.0,6110.030000000001,0.615,0.0,2024-01-15,Retail,Kolkata,1756.75
2791,Kids,Training,Metcon 7,M,2.0,6110.030000000001,0.615,0.0,2024-05-29,Retail,Delhi,1194.43
2796,Men,Lifestyle,Dunk Low,12,-1.0,2849.49,0.615,0.0,2023-11-08,Retail,Mumbai,2597.58
2797,Women,Lifestyle,Dunk Low,Unknown,2.0,2162.29,0.615,0.0,2025-03-30,Retail,Delhi,3158.47
2801,Women,Running,React Infinity,8,2.0,6110.030000000001,0.615,0.0,2024-02-13,Retail,Mumbai,2966.12
2802,Men,Running,Free RN,L,3.0,6110.030000000001,0.615,0.0,2024-01-19,Online,Kolkata,-231.73
2803,Women,Soccer,Mercurial Superfly,XL,0.0,6110.030000000001,0.615,0.0,2023-11-02,Online,Hyderbad,83.11
2805,Women,Running,Pegasus Turbo,L,-1.0,6110.030000000001,0.82,0.0,2023-08-28,Online,Pune,2037.76
2806,Kids,Basketball,Kyrie Flytrap,7,3.0,4466.78,0.615,0.0,2024-02-10,Online,Bangalore,2407.08
2819,Kids,Soccer,Premier III,9,2.0,7645.41,0.615,0.0,2025-01-20,Retail,Bengaluru,593.62
2829,Men,Basketball,LeBron 20,XL,2.0,6110.030000000001,0.615,0.0,2024-07-17,Online,Kolkata,2539.92
2832,Kids,Basketball,Kyrie Flytrap,Unknown,0.0,6110.030000000001,0.15,0.0,2024-05-17,Retail,Hyd,752.0
2834,Kids,Training,Flex Trainer,M,-1.0,9544.08,0.615,0.0,2024-09-05,Retail,Kolkata,575.58
2835,Women,Lifestyle,Air Force 1,Unknown,2.0,9240.64,0.63,0.0,2024-10-07,Retail,Pune,1873.76
2836,Men,Basketball,Kyrie Flytrap,L,0.0,9098.9,0.75,0.0,2025-07-22,Retail,Delhi,2729.87
2050,Women,Lifestyle,Blazer Mid,L,-1.0,6110.030000000001,0.615,0.0,2024-11-28,Online,Kolkata,3407.87
2842,Women,Soccer,Phantom GT,M,-1.0,6110.030000000001,0.615,0.0,2025-01-19,Online,Bangalore,-1193.98
2845,Men,Training,ZoomX Invincible,Unknown,2.0,6110.030000000001,0.615,0.0,2023-10-31,Retail,Pune,40.98
2008,Men,Running,Air Zoom,XL,2.0,6110.030000000001,0.615,0.0,2024-07-25,Retail,Mumbai,-639.42
2850,Kids,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.615,0.0,2024-11-10,Retail,Pune,458.86
2851,Kids,Lifestyle,Blazer Mid,XL,2.0,2241.11,0.615,0.0,2024-12-28,Online,Mumbai,1243.95
2854,Women,Basketball,LeBron 20,Unknown,-1.0,6110.030000000001,0.98,0.0,2023-11-07,Online,Pune,1103.35
2856,Kids,Basketball,Kyrie Flytrap,M,2.0,6110.030000000001,1.14,0.0,2023-10-12,Online,Kolkata,3137.85
2863,Women,Training,Metcon 7,6,2.0,8609.77,0.615,0.0,2024-11-23,Retail,Pune,-711.07
2867,Men,Soccer,Mercurial Superfly,11,1.0,9936.58,0.615,0.0,2025-02-20,Online,Hyd,3190.43
2872,Men,Basketball,Kyrie Flytrap,M,2.0,3953.13,0.615,0.0,2024-01-08,Online,Kolkata,3414.32
2874,Women,Soccer,Mercurial Superfly,L,2.0,6110.030000000001,0.01,0.0,2024-03-04,Retail,Delhi,-109.71
2877,Women,Basketball,Kyrie Flytrap,Unknown,2.0,6110.030000000001,0.615,0.0,2024-12-08,Retail,Kolkata,3327.04
2887,Women,Lifestyle,Waffle One,L,2.0,9292.33,0.615,0.0,2024-02-25,Online,Hyderbad,3747.95
2892,Women,Running,Free RN,M,4.0,6110.030000000001,0.615,0.0,2024-11-24,Online,Bengaluru,-1195.79
2893,Women,Running,React Infinity,10,1.0,6110.030000000001,0.61,0.0,2025-04-01,Retail,Delhi,780.43
2899,Men,Basketball,LeBron 20,L,3.0,6531.36,0.615,0.0,2025-05-17,Online,Mumbai,-91.78
2006,Men,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.615,0.0,2023-09-26,Retail,Mumbai,-716.79
2906,Women,Lifestyle,Waffle One,7,1.0,6110.030000000001,0.615,0.0,2024-08-25,Retail,Delhi,-291.45
2907,Men,Soccer,Premier III,L,2.0,8432.5,0.615,0.0,2024-02-25,Retail,Kolkata,3790.63
2909,Women,Running,Air Zoom,XL,2.0,7617.75,0.33,0.0,2024-08-20,Retail,Pune,-186.9
2911,Kids,Basketball,Zoom Freak,M,2.0,6110.030000000001,0.615,0.0,2023-10-26,Retail,Mumbai,927.88
2912,Kids,Running,React Infinity,XL,2.0,9839.63,0.98,393.59,2024-03-07,Online,Bengaluru,1218.22
2916,Kids,Lifestyle,Blazer Mid,XL,2.0,6110.030000000001,0.615,0.0,2024-08-05,Retail,Hyderabad,-1121.25
2929,Kids,Soccer,Tiempo Legend,M,2.0,6589.95,0.615,0.0,2024-04-01,Retail,Hyderabad,157.26
2931,Men,Basketball,Zoom Freak,7,2.0,6110.030000000001,0.615,0.0,2023-08-25,Retail,Pune,3751.45
2933,Women,Training,ZoomX Invincible,Unknown,2.0,9501.17,0.615,0.0,2024-04-13,Retail,Hyderbad,1069.32
2934,Women,Basketball,LeBron 20,XL,-1.0,2370.91,0.615,0.0,2024-03-14,Online,Mumbai,3043.95
2935,Men,Lifestyle,Dunk Low,L,4.0,6110.030000000001,0.615,0.0,2024-05-13,Online,Hyd,478.07
